route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
17460,CMBC,002,MACDONALD-16TH AVE/BURRARD STN    , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r002.ashx, , 
17461,CMBC,003,MAIN/DOWNTOWN                  , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r003.ashx, , 
17462,CMBC,004,POWELL/DOWNTOWN/UBC, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r004.ashx, , 
17463,CMBC,005,ROBSON/DOWNTOWN                , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r005.ashx, , 
17464,CMBC,006,DAVIE/DOWNTOWN                 , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r006.ashx, , 
17465,CMBC,007,NANAIMO STN/DUNBAR             , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r007.ashx, , 
17466,CMBC,008,FRASER/DOWNTOWN               , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r008.ashx, , 
17467,CMBC,009,BDRY/BWAY STN/GRAN/ALMA/UBC  , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r009.ashx, , 
17468,CMBC,010,GRANVILLE/DOWNTOWN          , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r010.ashx, , 
17469,CMBC,014,HASTINGS/UBC, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r014.ashx, , 
17470,CMBC,015,CAMBIE/OLYMPIC VILLAGE STN        , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r015.ashx, , 
17471,CMBC,016,29TH AVENUE STN/ARBUTUS        , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r016.ashx, , 
17472,CMBC,017,OAK/DOWNTOWN                   , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r017.ashx, , 
17473,CMBC,019,METROTOWN STN/STANLEY PARK         , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r019.ashx, , 
17474,CMBC,020,VICTORIA/DOWNTOWN              , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r020.ashx, , 
17475,CMBC,022,KNIGHT/MACDONALD               , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r022.ashx, , 
17476,CMBC,025,BRENTWOOD STN/UBC             , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r025.ashx, , 
17477,CMBC,026,JOYCE STN/29TH AVENUE STN  , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r026.ashx, , 
17478,CMBC,027,KOOTENAY LOOP/JOYCE STN        , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r027.ashx, , 
17479,CMBC,028,CAP UNIVERSIT/PHIBBS EXCH/JOYCE STN, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r028.ashx, , 
17480,CMBC,029,ELLIOTT/29TH AVENUE STN  , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r029.ashx, , 
17481,CMBC,032,DUNBAR/DOWNTOWN                , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r032.ashx, , 
17482,CMBC,033,29 AVE STN/ UBC, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r033.ashx, , 
17483,CMBC,041,JOYCE STN/CROWN/UBC           , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r041.ashx, , 
17484,CMBC,043,JOYCE STN/UBC, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r043.ashx, , 
17485,CMBC,044,UBC/DOWNTOWN                    , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r044.ashx, , 
17486,CMBC,049,METROTOWN STN/DUNBAR LOOP/UBC   , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r049.ashx, , 
17487,CMBC,050,WATERFRONT STN/FALSE CREEK SOUTH, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r050.ashx, , 
17488,CMBC,084,UBC/VCC STATION, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r084.ashx, , 
17489,CMBC,097,COQUITLAM STN/LOUGHEED STN (B-LINE), ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r097.ashx, , 
17490,CMBC,099,COMMERCIAL-BROADWAY/UBC (B-LINE)  , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r099.ashx, , 
17491,CMBC,100,22ND ST STN/MARPOLE LOOP , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r100.ashx, , 
17492,CMBC,101,LOUGHEED STN/22ND ST STN      , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r101.ashx, , 
17493,CMBC,104,22ND ST STN/ANNACIS ISLAND, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r104.ashx, , 
17494,CMBC,106,NEW WESTMINSTER STN/METROTOWN STN, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r106.ashx, , 
17495,CMBC,110,LOUGHEED STN/METROTOWN STN, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r110.ashx, , 
17496,CMBC,112,EDMONDS STN/NEW WEST STN       , ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r112.ashx, , 
17497,CMBC,116,EDMONDS STN/METROTOWN STN, ,3,http://www.translink.ca/~/media/Route_Files/74/routemap/r116.ashx, , 
