stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,50001,WB DAVIE ST FS BIDWELL ST,DAVIE ST @ BIDWELL ST,49.286489,-123.140440,1, ,0, 
2,50002,EB BEACH AV FS BURNABY ST,BEACH AV @ BURNABY ST,49.285997,-123.142659,1, ,0, 
3,50003,EB BEACH AV FS CARDERO ST,BEACH AV @ CARDERO ST,49.282801,-123.141579,1, ,0, 
4,50004,EB BEACH AV FS NICOLA ST,BEACH AV @ NICOLA ST,49.282093,-123.140503,1, ,0, 
5,50005,EB BEACH AV FS JERVIS ST,BEACH AV @ JERVIS ST,49.280222,-123.138212,1, ,0, 
6,50006,EB BEACH AV FS BUTE ST,BEACH AV @ BUTE ST,49.278996,-123.136997,1, ,0, 
7,50007,EB BEACH AV FS THURLOW ST,BEACH AV @ THURLOW ST,49.277305,-123.135291,1, ,0, 
11,50011,EB DAVIE ST FS HOWE ST,DAVIE ST @ HOWE ST,49.277532,-123.126955,1, ,0, 
14,50014,EB PACIFIC BLVD FS HOMER ST,PACIFIC BLVD @ HOMER ST,49.272933,-123.125419,1, ,0, 
21,50021,EB E PENDER ST FS CARRALL ST,E PENDER ST @ CARRALL ST,49.280390,-123.103955,1, ,0, 
22,50022,NB COLUMBIA ST FS E PENDER ST,COLUMBIA ST @ E PENDER ST,49.280715,-123.102127,1, ,0, 
25,50025,WB DAVIE ST FS GRANVILLE ST,DAVIE ST @ GRANVILLE ST,49.277397,-123.126385,1, ,0, 
26,50026,WB DAVIE ST FS HOWE ST,DAVIE ST @ HOWE ST,49.278050,-123.127393,1, ,0, 
28,50028,NB BURRARD ST FS HELMCKEN ST,BURRARD ST @ HELMCKEN ST,49.280247,-123.127231,1, ,0, 
29,50029,NB BURRARD ST FS NELSON ST,BURRARD ST @ NELSON ST,49.281319,-123.125639,1, ,0, 
30,50030,NB BURRARD ST FS ROBSON ST,BURRARD ST @ ROBSON ST,49.283407,-123.122399,1, ,0, 
31,50031,NB BURRARD ST FS W GEORGIA ST,BURRARD ST @ W GEORGIA ST,49.284543,-123.120699,1, ,0, 
32,50032,NB BURRARD ST FS W PENDER ST,BURRARD ST @ W PENDER ST,49.286686,-123.117486,1, ,0, 
35,50035,EB W CORDOVA ST FS SEYMOUR ST,W CORDOVA ST @ SEYMOUR ST,49.285058,-123.111637,1, ,0, 
36,50036,EB W CORDOVA ST FS HOMER ST,W CORDOVA ST @ HOMER ST,49.283792,-123.109739,1, ,0, 
38,50038,WB POWELL ST FS COLUMBIA ST,POWELL ST @ COLUMBIA ST,49.283320,-123.102578,1, ,0, 
39,59525,WB WATER ST FS ABBOTT ST,WATER ST @ ABBOTT ST,49.284027,-123.106780,1, ,0, 
40,50040,WB W CORDOVA ST FS SEYMOUR ST,W CORDOVA ST @ SEYMOUR ST,49.285698,-123.112274,1, ,0, 
44,50044,SB BURRARD ST FS W GEORGIA ST,BURRARD ST @ W GEORGIA ST,49.284258,-123.121470,1, ,0, 
45,50045,SB BURRARD ST FS ROBSON ST,BURRARD ST @ ROBSON ST,49.283140,-123.123170,1, ,0, 
46,50046,SB BURRARD ST FS SMITHE ST,BURRARD ST @ SMITHE ST,49.282096,-123.124790,1, ,0, 
47,50047,SB BURRARD ST FS NELSON ST,BURRARD ST @ NELSON ST,49.281052,-123.126410,1, ,0, 
48,50048,WB DAVIE ST FS BURRARD ST,DAVIE ST @ BURRARD ST,49.279320,-123.129380,1, ,0, 
49,50049,WB DAVIE ST FS THURLOW ST,DAVIE ST @ THURLOW ST,49.280627,-123.131396,1, ,0, 
50,50050,WB DAVIE ST FS BUTE ST,DAVIE ST @ BUTE ST,49.282051,-123.133548,1, ,0, 
51,50051,WB DAVIE ST FS JERVIS ST,DAVIE ST @ JERVIS ST,49.283058,-123.135114,1, ,0, 
52,50052,WB DAVIE ST FS BROUGHTON ST,DAVIE ST @ BROUGHTON ST,49.283956,-123.136530,1, ,0, 
53,50053,WB DAVIE ST FS CARDERO ST,DAVIE ST @ CARDERO ST,49.285471,-123.138872,1, ,0, 
54,50054,EB W 16 AV FS TRUTCH ST,W 16 AV @ TRUTCH ST,49.257603,-123.175660,1, ,0, 
55,50055,EB W 16 AV FS CARNARVON ST,W 16 AV @ CARNARVON ST,49.257544,-123.171648,1, ,0, 
56,50056,NB MACDONALD ST FS W 16 AV,MACDONALD ST @ W 16 AV,49.258029,-123.168210,1, ,0, 
57,50057,NB MACDONALD ST FS W 14 AV,MACDONALD ST @ W 14 AV,49.259861,-123.168183,1, ,0, 
