from_stop_id,to_stop_id,transfer_type,min_transfer_time
4504,4504,0,
4504,4517,0,
4243,4243,0,
4243,4514,0,
4243,4191,0,
4243,4301,0,
4247,4247,0,
4319,4319,0,
4323,4304,0,
4324,4398,0,
4295,4295,0,
4295,4249,0,
4295,4398,0,
4296,4248,0,
4297,4247,0,
4514,4243,0,
4514,4514,0,
4514,4191,0,
4514,4301,0,
4517,4504,0,
4517,4517,0,
4427,4427,0,
4427,4500,0,
4427,4567,2,300
4427,4329,0,
4429,9944,0,
4478,4455,0,
981,981,0,
981,1487,0,
981,635,2,480
983,1857,2,480
984,409,2,360
984,76,2,480
984,534,2,300
984,44,0,
984,8040,2,360
984,8077,2,360
984,31,0,
985,11523,0,
985,1016,2,300
985,4882,2,300
985,11522,2,300
985,11272,2,300
985,8041,2,480
10591,82,2,300
4194,4194,0,
4194,3994,0,
8797,8797,2,120
8797,3407,2,120
3386,3532,0,
3069,3069,0,
3394,3394,2,120
3394,3334,2,120
3394,3533,2,120
3394,3769,0,
3394,3204,0,
3394,3053,2,120
3394,3927,2,120
3394,3904,2,120
3394,3195,2,120
3394,3906,2,120
3394,3067,2,120
3394,8021,2,120
3394,8998,2,120
3394,8032,2,120
3394,7643,2,120
3046,3076,0,
3385,3385,2,120
3385,3779,2,120
3385,3816,2,120
3385,3806,2,120
3385,8022,2,120
3385,8999,2,120
3385,8031,2,120
3068,3068,0,
3068,3486,0,
3371,3667,0,
3407,8797,2,120
3407,3407,2,120
3245,3153,0,
11307,3151,0,
11307,2892,0,
8690,8688,2,120
8690,8685,2,120
8690,8676,2,120
8690,8672,2,120
8690,8656,2,120
8690,8689,2,120
8690,8657,2,120
8690,8687,2,120
8690,8746,0,
8690,8755,0,
8690,8691,0,
4043,4228,0,
4043,4053,2,360
10879,10882,0,
4045,4045,0,
4052,4052,0,
4163,4163,2,120
4163,4067,2,120
4163,452,2,120
4163,4143,2,120
4163,4119,2,120
4163,1761,2,120
4163,4381,2,120
4163,4474,2,120
4163,451,2,120
